longitude,minimum_nights,number_of_reviews,calculated_host_listings_count,availability_365,price
-73.95652,2.0,12.0,1.0,363.0,225
-73.99202,1.0,4.0,2.0,0.0,120
-73.9314,7.0,12.0,1.0,3.0,150
-73.9429,4.0,13.0,2.0,0.0,105
-73.98937,1.0,3.0,1.0,0.0,250
-73.99445,3.0,63.0,1.0,323.0,275
-73.85145,1.0,0.0,1.0,0.0,100
-73.99455,1.0,0.0,1.0,0.0,100
-73.99361,5.0,46.0,1.0,228.0,200
-73.94478,3.0,25.0,1.0,0.0,160
-73.92578,2.0,12.0,1.0,3.0,90
-73.98299,365.0,4.0,5.0,305.0,120
-73.89687,4.0,24.0,2.0,157.0,200
-73.93925,5.0,17.0,1.0,119.0,45
-73.99454,30.0,0.0,1.0,270.0,999
-73.92528,2.0,0.0,3.0,280.0,125
-73.94104,3.0,1.0,1.0,0.0,60
-73.94732,2.0,15.0,1.0,20.0,120
-73.95133,1.0,0.0,1.0,66.0,41
-73.98823,30.0,0.0,49.0,364.0,285
-73.79554,4.0,1.0,7.0,365.0,30
-73.98431,1.0,0.0,1.0,0.0,125
-73.97407,14.0,18.0,1.0,128.0,70
-73.97862,3.0,0.0,3.0,294.0,300
-73.89201,1.0,17.0,3.0,67.0,85
-74.0026,3.0,0.0,1.0,11.0,349
-73.84278,2.0,3.0,3.0,364.0,125
-74.00837,30.0,0.0,1.0,310.0,300
-73.99438,3.0,49.0,1.0,216.0,99
-73.99087,2.0,1.0,1.0,9.0,250
-73.99511,7.0,3.0,47.0,348.0,75
-73.91428,30.0,3.0,1.0,213.0,100
-74.07789,2.0,103.0,1.0,73.0,75
-73.92739,8.0,6.0,1.0,0.0,95
-73.90303,2.0,7.0,1.0,104.0,65
-73.95238,3.0,76.0,3.0,281.0,110
-73.98454,3.0,12.0,1.0,0.0,158
-74.09591,7.0,35.0,1.0,326.0,99
-73.91783,3.0,68.0,1.0,299.0,110
-73.94073,1.0,63.0,6.0,356.0,120
-73.83333,1.0,0.0,3.0,364.0,150
-73.98399,1.0,2.0,1.0,0.0,175
-73.97691,2.0,206.0,2.0,0.0,65
-73.92274,2.0,0.0,2.0,357.0,100
-73.99357,9.0,2.0,1.0,12.0,198
-73.92292,5.0,26.0,4.0,325.0,59
-73.96411,1.0,3.0,1.0,0.0,90
-73.98715,1.0,12.0,5.0,287.0,100
-73.97948,1.0,183.0,1.0,1.0,100
-73.9469,2.0,13.0,1.0,65.0,50
-73.8518,2.0,33.0,1.0,47.0,48
-73.93174,1.0,1.0,1.0,0.0,60
-73.99513,1.0,0.0,20.0,360.0,159
-73.9243,30.0,0.0,2.0,365.0,155
-73.96113,2.0,113.0,1.0,333.0,85
-73.9783,1.0,2.0,1.0,0.0,75
-73.95302,2.0,1.0,1.0,0.0,78
-73.95557,5.0,0.0,1.0,0.0,225
-73.99525,3.0,2.0,1.0,2.0,180
-73.94211,1.0,4.0,1.0,0.0,50
-73.98244,30.0,0.0,232.0,156.0,481
-73.9583,2.0,200.0,1.0,202.0,70
-73.9634,3.0,1.0,1.0,90.0,180
-73.96174,20.0,3.0,1.0,35.0,65
-73.98945,1.0,134.0,2.0,176.0,99
-73.94709,1.0,6.0,1.0,0.0,75
-73.98553,2.0,6.0,1.0,1.0,260
-73.96188,12.0,27.0,1.0,13.0,114
-73.86082,3.0,1.0,1.0,94.0,60
-73.84946,1.0,1.0,1.0,0.0,100
-73.86316,1.0,5.0,2.0,337.0,36
-73.97053,6.0,1.0,1.0,0.0,230
-73.98871,2.0,1.0,1.0,0.0,250
-73.99066,2.0,10.0,1.0,0.0,175
-73.94657,20.0,7.0,3.0,342.0,59
-73.98767,1.0,1.0,9.0,299.0,100
-73.95011,3.0,2.0,2.0,0.0,39
-73.94094,2.0,5.0,2.0,0.0,55
-73.97299,30.0,0.0,15.0,317.0,136
-73.92728,3.0,2.0,8.0,282.0,90
-73.9482,2.0,39.0,1.0,19.0,200
-73.99551,5.0,5.0,1.0,0.0,140
-74.00641,7.0,1.0,1.0,45.0,125
-73.94444,2.0,8.0,2.0,52.0,50
-73.99183,30.0,0.0,9.0,200.0,170
-73.98689,1.0,7.0,17.0,234.0,153
-73.99575,3.0,9.0,1.0,68.0,135
-73.87688,1.0,1.0,1.0,125.0,86
-73.94084,1.0,10.0,1.0,0.0,95
-73.90994,5.0,1.0,1.0,250.0,40
-73.98605,4.0,4.0,1.0,65.0,325
-73.98327,1.0,31.0,4.0,94.0,68
-73.99918,1.0,23.0,1.0,14.0,150
-73.78902,1.0,68.0,1.0,299.0,90
-73.94438,1.0,32.0,1.0,5.0,90
-73.9853,4.0,4.0,1.0,0.0,239
-73.94698,1.0,4.0,3.0,365.0,100
-73.93774,1.0,1.0,1.0,0.0,75
-73.98803,1.0,20.0,1.0,67.0,115
-73.9196,1.0,41.0,3.0,145.0,30
-73.96044,2.0,1.0,2.0,89.0,69
-73.97591,7.0,9.0,1.0,144.0,65
-74.00682,29.0,0.0,327.0,342.0,165
-73.9634,4.0,17.0,1.0,9.0,107
-73.94756,2.0,1.0,1.0,0.0,150
-73.98422,30.0,0.0,49.0,348.0,225
-73.99511,1.0,34.0,5.0,133.0,172
-73.98669,2.0,137.0,1.0,317.0,199
-73.99935,30.0,0.0,2.0,0.0,154
-73.92504,2.0,0.0,1.0,356.0,375
-73.98304,5.0,6.0,1.0,0.0,117
-73.84542,1.0,0.0,1.0,0.0,123
-73.99586,7.0,3.0,1.0,0.0,50
-73.96404,7.0,0.0,1.0,6.0,285
-74.00906,1.0,0.0,1.0,0.0,100
-73.93669,2.0,1.0,3.0,167.0,25
-73.98917,3.0,29.0,1.0,6.0,299
-73.94559,2.0,6.0,3.0,61.0,175
-73.79162,1.0,7.0,3.0,139.0,33
-74.20295,14.0,0.0,1.0,23.0,1250
-73.89573,11.0,27.0,2.0,212.0,47
-73.95353,5.0,0.0,1.0,0.0,100
-73.94491,1.0,0.0,1.0,0.0,39
-74.01342,1.0,30.0,1.0,6.0,43
-73.99859,4.0,2.0,1.0,0.0,275
-73.99438,2.0,8.0,1.0,0.0,300
-73.98884,4.0,0.0,1.0,0.0,150
-73.95608,2.0,14.0,1.0,16.0,88
-73.91687,28.0,49.0,1.0,313.0,75
-74.01717,1.0,8.0,1.0,74.0,44
-73.91058,2.0,0.0,1.0,364.0,125
-73.88219,1.0,8.0,3.0,342.0,70
-73.92007,1.0,15.0,1.0,0.0,34
-73.94949,3.0,234.0,4.0,308.0,80
-73.94833,1.0,6.0,1.0,0.0,57
-73.99976,1.0,2.0,1.0,133.0,305
-73.97393,3.0,10.0,1.0,0.0,150
-73.99503,3.0,7.0,1.0,0.0,200
-73.99099,3.0,0.0,3.0,140.0,299
-73.98252,1.0,0.0,1.0,0.0,65
-73.99198,4.0,30.0,1.0,0.0,200
-73.81005,2.0,0.0,1.0,0.0,75
-73.92313,2.0,0.0,2.0,0.0,50
-73.95304,5.0,12.0,5.0,67.0,40
-73.83307,1.0,25.0,4.0,317.0,73
-74.01097,1.0,1.0,1.0,16.0,200
-73.77761,1.0,165.0,1.0,365.0,48
-73.95852,30.0,0.0,33.0,346.0,225
-73.96134,2.0,349.0,1.0,13.0,80
-73.93432,3.0,28.0,2.0,0.0,60
-73.95289,1.0,16.0,2.0,351.0,121
-73.99978,3.0,250.0,1.0,111.0,135
-73.92369,45.0,3.0,1.0,21.0,73
-73.97238,2.0,47.0,1.0,0.0,70
-73.92297,2.0,77.0,1.0,264.0,49
-73.9589,3.0,0.0,2.0,0.0,60
-73.9851,3.0,8.0,2.0,0.0,245
-74.00762,29.0,0.0,1.0,283.0,375
-73.94965,2.0,9.0,3.0,357.0,38
-73.99754,1.0,3.0,1.0,362.0,229
-73.96644,28.0,1.0,49.0,257.0,714
-73.91106,1.0,38.0,1.0,0.0,75
-73.95914,3.0,12.0,1.0,343.0,165
-73.933,3.0,4.0,7.0,109.0,100
-73.97246,30.0,0.0,9.0,266.0,150
-74.08645,1.0,0.0,1.0,88.0,60
-73.90889,1.0,103.0,4.0,133.0,28
-73.93159,15.0,1.0,2.0,0.0,55
-73.94994,1.0,160.0,3.0,246.0,129
-73.90812,5.0,8.0,2.0,179.0,35
-73.92332,1.0,0.0,1.0,0.0,50
-73.96456,5.0,0.0,1.0,365.0,350
-73.91209,4.0,77.0,1.0,258.0,150
-73.9527,4.0,126.0,2.0,290.0,219
